Method,Moves,Time
"$\pi_{\theta,(64,10)}$",16.0,0.011076211929321289
"$\pi_{\theta,(64,10)}$",15.0,0.010479211807250977
"$\pi_{\theta,(64,10)}$",15.0,0.010492801666259766
"$\pi_{\theta,(64,10)}$",14.0,0.00948786735534668
"$\pi_{\theta,(64,10)}$",17.0,0.014638662338256836
"$\pi_{\theta,(64,10)}$",16.0,0.012366056442260742
"$\pi_{\theta,(64,10)}$",15.0,0.01090097427368164
"$\pi_{\theta,(64,10)}$",16.0,0.013126850128173828
"$\pi_{\theta,(64,10)}$",15.0,0.011448860168457031
"$\pi_{\theta,(64,10)}$",16.0,0.011376142501831055
"$\pi_{\theta,(64,10)}$",19.0,0.01554417610168457
"$\pi_{\theta,(64,10)}$",15.0,0.011121749877929688
"$\pi_{\theta,(64,10)}$",19.0,0.021473169326782227
"$\pi_{\theta,(64,10)}$",16.0,0.012606143951416016
"$\pi_{\theta,(64,10)}$",19.0,0.013293027877807617
"$\pi_{\theta,(64,10)}$",15.0,0.010384082794189453
"$\pi_{\theta,(64,10)}$",13.0,0.008745908737182617
"$\pi_{\theta,(64,10)}$",14.0,0.028567075729370117
"$\pi_{\theta,(64,10)}$",17.0,0.011382102966308594
"$\pi_{\theta,(64,10)}$",15.0,0.010601997375488281
"$\pi_{\theta,(64,10)}$",15.0,0.010902643203735352
"$\pi_{\theta,(64,10)}$",16.0,0.011452913284301758
"$\pi_{\theta,(64,10)}$",13.0,0.052514076232910156
